,name,postcode,latitude,longitude,popularity,price,rating
167,Rosemary Branch,N1 3DT,51.537583,-0.087005,0.9852170876498662,1.0,8.8
168,The Narrow Boat,N1 8PZ,51.533078,-0.096802,0.9787824467465952,2.0,8.4
169,Upstairs at the Ten Bells,E1 6LY,51.51935,-0.074203,0.9895378884879524,2.0,8.0
170,The Telephone Exchange,SE1 9SG,51.505084,-0.088106,0.9960563380281692,1.0,7.9
171,Marksman,E2 7SJ,51.530863,-0.069572,0.9911395646606914,1.0,8.5
172,The Roebuck,SE1 4YG,51.498095,-0.090711,0.9644022814573392,2.0,8.2
173,Anchor Bankside,SE1 9EF,51.507187,-0.092961,0.9938586893260388,1.0,7.6
174,The Porterhouse,WC2E 7NA,51.510321,-0.123561,0.9872983354673496,2.0,8.3
175,"Draft House, Tower Bridge",SE1 2UP,51.502839,-0.076931,0.9895937609125828,3.0,8.0
176,Princess Louise,WC1V 7BW,51.51728,-0.121619,0.9893400069840532,1.0,8.1
177,The Buxton,E1 6TD,51.517236,-0.070382,0.9808404143871492,1.0,7.8
178,The Woolpack,SE1 3UB,51.500766,-0.082037,0.9852706320568037,2.0,7.9
179,Royal Oak,SE11 6QU,51.49313,-0.11277,0.929691537655686,1.0,8.4
180,The Owl & Pussycat,E2 7DP,51.52428825,-0.07547460158828037,0.9875241531835642,2.0,7.7
181,The Hydrant,EC3R 8BG,51.510305,-0.086303,0.9849214294028634,1.0,7.4
182,Waxy O'Connor's,W1D 6DD,51.51078,-0.132348,0.9889116517285532,2.0,8.3
183,The Wheatsheaf,SE1 9AA,51.505267,-0.0912,0.9855942265161216,2.0,7.6
184,Captain Kidd,E1W 2NE,51.50332,-0.058146,0.9736002793621232,1.0,8.2
185,The Prospect of Whitby,E1W 3SJ,51.507103,-0.051082,0.9853404725875916,1.0,8.3
186,De Hems Dutch Cafe Bar,W1D 5BW,51.512129,-0.131253,0.9891374694447678,2.0,8.1
187,Sherlock Holmes,WC2N 5DB,51.507324,-0.1252,0.9948294727039926,2.0,8.0
188,The White Hart,E1 4TP,51.520232,-0.056084,0.9888581073216156,2.0,8.0
189,The Angel,SE16 4NB,51.500684,-0.059019,0.9709556512629496,1.0,8.0
190,The Old Shades,SW1A 2BX,51.506493,-0.126804,0.9869491328134092,2.0,7.9
191,The Dickens Inn,E1W 1UH,51.506611,-0.070149,0.99023396577814,2.0,7.5
192,Camden Head,N1 8DY,51.535608,-0.102957,0.977692934466302,2.0,7.6
193,The Minories,EC3N 1JL,51.510836,-0.074717,0.9935281108136422,1.0,7.3
194,The Horniman at Hays,SE1 2HD,51.505728,-0.083503,0.9953625887556744,2.0,7.2
195,The Eagle,N1 7LB,51.52861,-0.091645,0.9871074380165288,2.0,7.2
196,The Red Lion,SW1A 2NH,51.502051,-0.125749,0.991514375509254,1.0,7.7
197,The Wellington,WC2R 0HS,51.511424,-0.119594,0.9953975090210686,2.0,7.4
198,The Castle,E1 1LN,51.514881,-0.06905,0.9924735187987428,1.0,7.2
199,Liberty Bounds,EC3N 4AA,51.509744,-0.078495,0.9943266208823188,2.0,7.0
200,O'Neill's,W1D 6PU,51.511277,-0.132138,0.9954091491095332,2.0,7.4
201,The Salisbury Pub,WC2N 4AP,51.510909,-0.127233,0.9895658247002678,1.0,7.3
202,The Old Thameside Inn,SE1 9DG,51.506974,-0.091718,0.9823163776044698,2.0,6.8
203,The Marquis of Cornwallis,WC1N 1AP,51.524424,-0.125061,0.9951134908625304,2.0,7.2
204,Shakespeares Head,WC2B 6BG,51.516833,-0.119602,0.996980561052264,1.0,7.0
205,Goodmans Field,E1 8AN,51.511573,-0.072804,0.988490280526132,1.0,6.8
206,The Ring,SE1 8HA,51.503556,-0.104875,0.9910604120591316,3.0,6.9
207,George IV,WC2A 2HE,51.514682,-0.116972,0.972897218018857,1.0,6.9
208,Pommelers Rest,SE1 2UN,51.502449,-0.077168,0.9929624025142592,1.0,6.8
209,The Clarence,SW1A 2HP,51.506172,-0.126724,0.988134093819113,1.0,7.0
210,Elephant & Castle,SE1 6BN,51.495791,-0.099753,0.9839343499010592,1.0,6.9
211,The Cross Keys,WC2H 9EB,51.514539,-0.124751,0.9768455360260738,1.0,6.9
212,The White Hart,E1 7RA,51.515771,-0.070889,0.9938400651844954,1.0,6.7
