,name,postcode,borough,latitude,longitude,price,rating,popularity,number_of_crimes,number_of_metro,number_of_police,distance_metro,distance_police
470,Victoria Stakes,N10 3TH,London Borough of Haringey,51.587429,-0.134285,1.0,6.7,0.944972645792108,17,0,0.0,1375.6282520746545,1082.0318106826053
471,The Tollgate,N8 0PS,London Borough of Haringey,51.589934,-0.105519,1.0,6.5,0.9634850424863228,208,1,1.0,173.6045886628148,219.43127783096517
472,The Gate,N22 7SS,London Borough of Haringey,51.59837,-0.119638,1.0,6.2,0.9653590967291352,64,0,0.0,722.0177235831892,586.4557225555357
473,The Alex,N8 8JP,London Borough of Haringey,51.582767,-0.127495,1.0,6.7,0.982162728436736,64,0,2.0,1390.4879701992138,386.70030910892285
474,The Alfred Herring,N13 5TT,London Borough of Enfield,51.619207,-0.107114,1.0,6.6,0.943552554999418,82,0,0.0,1797.5013051854498,1383.845602664027
475,The Springfield Bar & Grill,N11 2PP,London Borough of Haringey,51.605573,-0.122862,1.0,6.0,0.9442067279711326,65,1,0.0,182.9275180327814,899.0675040809708
476,Railway Tavern,N8 8DH,London Borough of Haringey,51.57761,-0.1244,1.0,6.5,0.9442369922011408,86,0,2.0,1460.788579943899,156.06742697384004
477,Maynard Arms Crouch End,N8 8SX,London Borough of Haringey,51.581745,-0.126192,2.0,6.4,0.9700291002211616,82,0,2.0,1427.843062087922,243.10822798036656
478,Kiss the Sky,N8 8TD,London Borough of Haringey,51.580741,-0.124511,1.0,6.1,0.8638971016179723,75,0,2.0,1504.2681086434766,102.30180743239781
479,The Fox,N13 4JD,London Borough of Enfield,51.620473,-0.106617,1.0,5.7,0.9174927249447096,88,0,0.0,1917.847109358349,1244.7632652158707
480,Inn on the Green,N13 4XS,London Borough of Enfield,51.617262,-0.109494,1.0,5.3,0.9065207775579094,94,0,0.0,1526.5682846378375,1653.1887531960003
481,The Fountain,N15 5DE,London Borough of Haringey,51.585068,-0.079415,1.0,5.8,0.9851984635083226,212,0,0.0,373.1553122425937,661.0542453319683
482,Duck in the Pond,HA3 6AA,London Borough of Harrow,51.604381,-0.327522,1.0,7.6,0.993251076708183,51,0,0.0,1457.610311066948,1133.9767081646853
483,Kingsfield Arms,HA1 3DF,London Borough of Harrow,51.575116,-0.343222,1.0,7.5,0.9314910953323244,37,0,0.0,633.9349555248336,1670.7651855209951
484,The Castle,HA1 3EF,London Borough of Harrow,51.57208825,-0.3399507827906979,1.0,7.3,0.9656687230822956,24,0,0.0,830.3295980013207,1889.3444603280045
485,O'Neill's,HA1 2AA,London Borough of Harrow,51.580578,-0.334227,1.0,6.9,0.9633057851239668,207,1,0.0,239.18287791815234,872.8906256616862
486,The Junction,HA1 2DH,London Borough of Harrow,51.579576,-0.33254,1.0,6.0,0.9648073565359097,187,1,0.0,312.9279396974379,965.6771057738416
487,The Moon & Sixpence,HA5 4HS,London Borough of Harrow,51.608274,-0.373095,1.0,6.1,0.9798766150622744,18,0,0.0,1806.1766671889443,2997.865839324238
