,fsq_id,name,address,locality,neighborhood,postcode,category,latitude,longitude
40,50f176cce4b0476f9456d224,Tower Bridge Police Station,,,,,Police Station,51.501761,-0.076855
41,4ad58eb4f964a520250321e3,Holborn Police Station,10 Lambs Conduit St,London,Bloomsbury,WC1N 3NR,Police Station,51.520762,-0.11767
42,4b8592e9f964a5204e6631e3,Charing Cross Police Station,Agar St,London,,WC2N 4JP,Police Station,51.509683,-0.124499
43,50ec6e65e4b0eb969158c301,St George's Town Hall,236 Cable St,London,,E1 0BL,Police Station,51.510978,-0.058609
44,4c37413a2c8020a135a38800,Islington Police Station,2 Tolpuddle St,Islington,Islington,N1 0YY,Police Station,51.53394,-0.111027
45,4e0898e5a809495e619fa840,Kennington Police Station,49-51 Kennington Rd,Vauxhall,Waterloo,SE1 7QA,Police Station,51.497295,-0.111612
46,523eef8711d2beb0ae6f0468,Met Police Station,,,,,Police Station,51.511567,-0.128207
47,4d344e67306160fcfe2e6b88,Trafalgar Square Police Box,Trafalgar Sq,London,,WC2N 5DN,Police Station,51.507926,-0.127398
48,582633c87a4d7f479e83ceb4,New Scotland Yard,35 Victoria Embankment,London,,SW1A 2JL,Police Station,51.502883,-0.124145
49,4e43ac4eaeb7d02fd0e0f80f,Lambeth Support HQ,Lambeth Rd,London,,,Police Station,51.494778,-0.116895
50,52e92a52498e8f6d4ed62bfc,Metropolitan Police Central Communications Command Centre,109 Lambeth Rd,London,,SE1 7JP,Police Station,51.49473,-0.11835
51,4d385fed6eef548121174048,British Transport Police,16-24 Whitfield St,London,Fitzrovia,W1T 2RA,Police Station,51.519573,-0.134056
52,4cac5b2397c8a1cd07c39fa5,Walworth Police Station,12-28 Manor Pl,East Walworth,,SE17 3BB,Police Station,51.489353,-0.097309
53,4c59937c6407d13ad67cb228,Bethnal Green Police Station,12 Victoria Park Square,London,,E2 9NZ,Police Station,51.528184,-0.053619
54,27e4260461e74b753fdd61ec,Waterhouse Baker,"Warnford Ct, 29 Throgmorton St",London,Bishopsgate,EC2N 2AT,Police Station,51.514866,-0.087098
55,838a9a92b3244f53520eb6b7,British Transport Police,"Bishopsgate Police Station, 182 Bishopsgate",London,Whitechapel,EC2M 4NP,Police Station,51.517735,-0.079948
56,8d971ac72965482084b6aaa1,Constable & Robinson,100 Victoria Embankment,London,,EC4Y 0DY,Police Station,51.511656,-0.105168
57,65224b20cc9e4995e3f7e87e,British Transport Police,Ivason House 8A London Bridge St,London,,SE1 9SG,Police Station,51.505089,-0.088012
58,dbae574ff32d4e80fc3f52a6,STP Information Services,,London,,EC1V 2NJ,Police Station,51.526597,-0.088382
59,f197d638826844120652d56d,Metropolitan Police Service,25 Brick Lane,London,Spitalfields,E1 6PU,Police Station,51.518128,-0.071376
60,e7c45192d3fe447deef94fe5,Metropolitan Police Service London,112-114 Goswell Rd,London,The City,EC1V 7DP,Police Station,51.527964,-0.101014
61,6118a7a7533844f4df964ca3,The Civil Justice Council,,London,,WC2A 2LL,Police Station,51.513601,-0.114607
62,d045b823812e486e28bc8834,Calder UK,2 Arundel St,London,,WC2R 3AZ,Police Station,51.511783,-0.114156
63,72c4197b96c24f78e90b4df0,Inner London Crown Court Probation,21 Harper Rd,London,Waterloo,SE1 6AW,Police Station,51.498871,-0.096189
64,16693610350a4f10083fc7ad,British Transport Police,Waterloo Railway Station,London,Waterloo,SE1 8SE,Police Station,51.503225,-0.113225
65,4b3794c26d52451a203c9026,Facewatch,13-14 Buckingham St,London,Strand,WC2N 6DF,Police Station,51.50822,-0.123373
66,3b3f585dcef44ef44280cb65,Metropolitan Police Service,49-51 Kennington Rd,London,Lambeth,SE1 7QA,Police Station,51.497402,-0.111638
67,9060632e773f43caa96e0753,Metropolitan Police,12 Orsman Rd,London,,N1 5QJ,Police Station,51.536469,-0.079439
68,39a6a15a8e9f47c91cd0e596,British Transport Police,15 Tavistock Pl,London,Bloomsbury,WC1H 9SY,Police Station,51.525883,-0.125089
69,bf03ea1b302949c767dfec3f,British Transport Police Authority,Railway Arch 198 Carlisle Lane,London,Waterloo,SE1 7LH,Police Station,51.497442,-0.115459
70,68dd42075371483c493495c2,Defence Police Federation,Main Building Horse Guards Ave,London,Westminster,SW1A 2HB,Police Station,51.505115,-0.126176
71,96db98b1b4134aff0fdac93a,Metropolitan Police Service,"Whitehall Police Station, Victoria Embankment",London,Whitehall,SW1A 2JL,Police Station,51.502716,-0.124247
72,18cb644030804920a937a868,Probation Trust,377 Cambridge Heath Rd,London,Bethnal Green,E2 9RD,Police Station,51.53022,-0.056408
73,79c88aaf347a4ee9ae71a44e,The Probation Service,"Glen House, 200-208 Tottenham Ct",London,West Central,W1T 7PL,Police Station,51.520656,-0.134039
74,4c431129d7fad13ac0f809da,Croydon Police Station,71 Park Lane,Croydon,Croydon,CR9 1BP,Police Station,51.370398,-0.095832
75,5133739ae4b02d07e7a7c1a1,Croydon Custody Centre,90 Windmill Rd,Croydon,,CR0 2XP,Police Station,51.385482,-0.099841
76,4e817eb18b81da6e75f6aee4,Berin Underwood House,90 Windmill Rd,Croydon,,CR0 2XR,Police Station,51.385159,-0.10095
77,37a0555fc2ab4f95c2765ade,Surrey Police - Croydon Police Station,71 Park Lane,Croydon,Croydon,CR9 1BP,Police Station,51.370506,-0.095859
78,3afbacce1c6443f2529815ef,British Transport Police,"West Croydon Railway Station, London Rd",Croydon,Croydon,CR0 2TA,Police Station,51.379523,-0.103361
79,c6a8fc2b42a648e7ab719f30,British Transport Police,"Knollys House, 17 Addiscombe Rd",Croydon,Croydon,CR0 6SR,Police Station,51.375935,-0.090925
80,4bf15cadc9ced13a471081c5,Ealing Police Station,67-69 Uxbridge Rd,Ealing,Ealing,W5 5SJ,Police Station,51.512054,-0.310208
81,4d6e854c2e6ea09398fe1e50,Acton Police Station,250 High St,Acton,Acton,W3 9BH,Police Station,51.508535,-0.274953
82,094208b2096840a81179f188,Metropolitan Police Service,67-69 Uxbridge Rd,London,Ealing,W5 5SJ,Police Station,51.512096,-0.310457
83,581955ddeabb4fb2a9539598,Police Safer Neighbourhood Team Elthorne,"2-14 Melbourne Ave, West Ealing",London,,W13 9BP,Police Station,51.509253,-0.324638
84,347ab0d23374492d8b10acd1,Police Safer Neighbourhood Team Ealing Common,"180 South Ealing Rd, Ealing",London,,W5 4RJ,Police Station,51.497499,-0.305447
85,e665c050add9495c8699c2f9,South Ealing Pharmacy,186 South Ealing Rd,London,,W5 4RJ,Police Station,51.497374,-0.305797
86,06927aad628e4edc846c9911,Ashbourne Parade,12 Ashbourne Parade,London,,W5 3QS,Police Station,51.530087,-0.293068
87,e0dfd0ec8a2c4abfad641c8d,Police Safer Neighbourhood Team East Acton,"Europa Studios, Victoria Rd",London,,NW10 6ND,Police Station,51.528877,-0.277485
88,dc9363ed3d2748f4a130f4f6,Cornish House,Green Dragon Lane,London,,TW8 0DE,Police Station,51.489814,-0.292871
89,50a786aee4b0b9c73133cf45,Enfield Police Station,41 Baker St,Enfield,Enfield,EN1 3EU,Police Station,51.655219,-0.080164
90,49f376c8e9f24600c5d61d7c,Winchmore Hill Police Station,687 Green Lanes,London,Winchmore Hill,N21 3RT,Police Station,51.630079,-0.097358
91,4c640ec386b6be9afe019034,Greenwich Police Station,31 Royal Hill,London,Greenwich,SE10 8RR,Police Station,51.477983,-0.010074
92,4c1a69bcc09ed13a324d828e,The Old Police Station,114 Amersham Vale,London,Lewisham,SE14 6LG,Police Station,51.479429,-0.03179
93,4ca0a8e68afca093d27d1416,Isle of Dogs Police Station,160-174 Manchester Rd,Isle of Dogs,,E14 3BN,Police Station,51.493603,-0.006683
94,4c0e99de5ab6c9b60b09f0fe,Lewisham Police Station,43 Lewisham High St,London,Lewisham,SE13 5JZ,Police Station,51.463607,-0.00987
95,40c2944618774c8958ed0a44,Metropolitan Police Service,160 Manchester Rd,London,Millwall,E14 3BE,Police Station,51.489543,-0.006779
96,a17712d1de2f4d9297ab9f75,Royal Parks Constabulary,"Blackheath Gate, Greenwich Park",London,Greenwich,SE10 8QY,Police Station,51.472951,0.002958
97,a79ace3cb4bd4f3e4373f801,Metropolitan Police Service,11 Combedale Rd,London,Greenwich,SE10 0LQ,Police Station,51.485717,0.017421
98,346dc5e284fe4dbe59e881c9,Metropolitan Police Service,116 Amersham Vale,London,New Cross,SE14 6LG,Police Station,51.479424,-0.031884
99,0520e800610046f65ba8f556,Metropolitan Police,43 Lewisham High St,London,Lewisham,SE13 5JZ,Police Station,51.463872,-0.011171
100,4b7937e0f964a5207cef2ee3,Hackney Service Centre,1 Hillman St,London,Dalston,E8 1DY,Police Station,51.544941,-0.057235
102,5096af64e4b08ccc28aa4a07,Shacklewell Lane,"Snt Base, 17-19 Shacklewell Lane",London,,E8 2DA,Police Station,51.551068,-0.073474
103,4af46927f964a5202bf221e3,Stoke Newington Police Station,33 Stoke Newington High St,London,Stoke Newington,N16 8DS,Police Station,51.557876,-0.07473
104,4bcd85ab8920b7134ace9fdc,Bow Police Station,111-117 Bow Rd,London,Bow,E3 2AN,Police Station,51.527708,-0.023596
107,060ccb742a7545dc955bbbdb,Probation Service,34 Englefield Rd,London,Islington,N1 4EZ,Police Station,51.543004,-0.081962
108,4cd4f871b2b947561cb0df0c,London Probation Trust,50 Mornington Grove,London,Bow,E3 4NS,Police Station,51.525869,-0.023619
109,4bc720f392b376b032144f3a,Hammersmith Police Station,226 Shepherds Bush Rd,Hammersmith,,W6 7NX,Police Station,51.49459,-0.224134
110,4bacbd60f964a52065083be3,Shepherd's Bush Police Station,252 Uxbridge Rd,London,,W12 7JA,Police Station,51.506201,-0.229279
